element,members
reporting facility,Reporting facility
reporting district,Reporting district
type of case,"Type of case, Type of case*"
reporter name,Reporter name
reporting phone number,Reporting phone number
reporting date,Reporting date
type of reporting disease/condition,Type of reporting disease/condition
last name of case,Last name of case
first name of case,First name of case
date of birth (dd/mm/yyyy),"Date of birth (DD/MM/YYYY), Date of birth (MM/DD/YYYY), Date of birth (mm-dd-yyyy), Date of birth(MM/DD/YYYY), Date of birth (MM/DD/YY), Date of birth (MM/DD/YYYY):, Date of birth(DD/MM/YYYY), Date of Birth (mm/dd/yyyy), Date of Birth (dd/mm/yyyy), Date of birth (mm/dd/yyyy), Date of birth (dd/mm/yyyy)"
age of case (if dob unknown),Age of case (if DOB unknown)
nationality,Nationality
cases uid,Cases UID
district of case residence,District of case residence
type of residence,Type of residence
sex,"Sex, SEX"
occupation,"Occupation, Occupation:, OCCUPATION, Occupation*"
physical address,Physical address
nearest landmark,Nearest landmark
parent or caretaker name,Parent or caretaker name
phone number of case,Phone number of case
date seen at facility,Date seen at facility
vaccination,Vaccination
number of doses,"Number of doses, Number of Doses"
type of vaccine,Type of vaccine
date facility notified district,"Date facility notified district, Date health facility notified district"
date of last vaccination,Date of last vaccination
recent travel history,Recent travel history
recent travel history location,Recent travel history location
date of return,Date of return
any contact with ot case,Any contact with OT case
any clustering (clustering type),Any clustering (clustering type)
date of onset,"Date of onset, Dates of onset, Date of Onset, DATE OF ONSET"
pregnancy (if case is female),Pregnancy (if case is female)
trimester,Trimester
presenting symptom(s) tick if any presented,Presenting symptom(s) tick if any presented
underlying condition(s) tick if any presented,Underlying condition(s) tick if any presented
covid (positive) hist,COVID (positive) hist
person completing form,"Person completing form, Person Completing Form, Person Completing form"
date specimen collected,Date specimen collected
date specimen sent to lab,Date specimen sent to lab
specimen type,"Specimen type, Specimen type*, Specimen Type"
specimen condition,Specimen condition
date lab received specimen,Date lab received specimen
type of test(s) performed,"Type of test(s) performed, Type of tests performed"
testing platform,Testing platform
final laboratory result(s),"Final laboratory result, Final laboratory results"
date lab sent result to district,Date lab sent result to district
date result sent to hcw,Date result sent to HCW
date district received result,Date district received result
case final outcome,Case final outcome
final case classification,"Case final classification, Case classification*, Final classification, Final classification of the case, Final classification of case, Case classification, Final case classification, Final Classification, Final Classification of Case, Final Case Classification, Case Classification*, Case Classification, Final Classification of the case"
health facility,"Health facility, Health Facility"
district,District
date seen at health facility (dd/mm/yyyy),Date seen at health facility (DD/MM/YYYY)
date health facility notified district (dd/mm/yyyy),Date health facility notified district (DD/MM/YYYY)
referred by chw/cahw,Referred by CHW/CAHW
tracking number,"Tracking number, Tracking Number"
disease/condition/event notified,Disease/condition/event notified
patient first name(s),"Patient first name, Patient first name(s), Patient First name"
surname,Surname
dob,"DOB, D.O.B."
age,"Age, AGE"
residential address (house number street or village),Residential address (house number street or village)
residential village/town/city,Residential village/town/city
residential chiefdom/zone,Residential chiefdom/zone
phone number (patient/parent/guardian/next of kin),Phone number (patient/parent/guardian/next of kin)
date of onset /event (dd/mm/yyyy),Date of onset /event (DD/MM/YYYY)
any lab test done prior to this notification,Any lab test done prior to this notification
if lab test done what test,If lab test done what test
result of the test done,Result of the test done
treatment given,"Treatment given, Treatment Given"
patient current category,Patient current category
unit/ward name,Unit/ward name
admission date (dd/mm/yyyy),Admission date (DD/MM/YYYY)
referred,Referred
facility referred to,Facility referred to
date referred (dd/mm/yyyy),Date referred (DD/MM/YYYY)
outcome of the patient at the time of report,Outcome of the patient at the time of report
date of death (dd/mm/yyyy),"Date of death (DD/MM/YYYY), Date of Death (MM/DD/YYYY), Date of Death (dd/mm/yyyy)"
name,"Name, Name:, NAME"
designation,Designation
contact phone,Contact phone
facility name,"Facility name, Facility Name"
report date,Report date
facility code,Facility code
person preparing report,Person preparing report
person contact number,Person contact number
first name(s),"First names, First name, First name(s), First Name"
pregnant,"Pregnant, Pregnant?"
date of birth,"Date of birth, Date of Birth"
telephone contact of the patient,Telephone contact of the patient
chief,Chief
location of patient's home(give nearest landmark and head of household),Location of patient's home(give nearest landmark and head of household)
please tick all boxes that apply to this single case/patient,Please tick all boxes that apply to this single case/patient
date of admission(if applicable),Date of admission(if applicable)
date of death(if applicable),Date of death(if applicable)
treatment(if applicable),Treatment(if applicable)
case comments(include recent travel),Case comments(include recent travel)
date/time of call,Date/time of call
your signature,Your signature
epr officer receiving call,EPR officer receiving call
case no.,Case No.
today's date,"Today's date, Today�s date"
patient's id number,Patient's ID number
patient's name,"Patient's name, Patient's Name"
patient's date of birth,"Patient's date of birth, Patient�s date of birth"
physician's name,"Physician's name, Physician�s name"
phone,Phone
email,"Email, E-mail"
residence,"Residence, Residency"
date of symptom onset,"Date of symptom onset, Date of Symptom Onset"
does the patient have the following signs and symptoms(check that all apply),Does the patient have the following signs and symptoms(check that all apply)
does the patient have these additional signs and symptoms(check that all apply),Does the patient have these additional signs and symptoms(check that all apply)
in the 14 days before symptom onset did the patient,In the 14 days before symptom onset did the patient
does the patient have history of travel outside of eswatini,Does the patient have history of travel outside of Eswatini
which countries travelled to,Which countries travelled to
date of departure from last country,Date of departure from last country
date arrived in eswatini,Date arrived in Eswatini
have close contact with a person who is under investigation for covid-19,Have close contact with a person who is under investigation for COVID-19
have close contact with a laboratory-confirmed covid-19 case,Have close contact with a laboratory-confirmed COVID-19 case
was the case ill at time of contact,Was the case ill at time of contact
is the case a local case,Is the case a local case
is the case an international case,Is the case an international case
in which country was the case diagnosed with covid-19,In which country was the case diagnosed with COVID-19
is the patient a health care worker,"Is the patient a health care worker, Patient is a healthcare worker, Is patient a healthcare worker"
have a history of being in a healthcare facility(as a patient worker or visitor) in affected country,Have a history of being in a healthcare facility(as a patient worker or visitor) in affected country
care for a ncov patient,Care for a nCoV patient
is patient a member of a cluster of patients with severe acute respiratory illness( e.g. fever and pneumonia requiring hospitalisation) of unknown etiology in which ncov is being evaluated,Is patient a member of a cluster of patients with severe acute respiratory illness( e.g. fever and pneumonia requiring hospitalisation) of unknown etiology in which nCoV is being evaluated
diagnosis(select all that apply) pneumonia (clinical or radiologic),Diagnosis(select all that apply) pneumonia (clinical or radiologic)
comorbid conditions(check all that apply),Comorbid conditions(check all that apply)
is/was the patient hospitalized,Is/was the patient hospitalized
admitted to icu,Admitted to ICU
intubated,Intubated
on ecmo,On ECMO
patient died,Patient died
does the patient have another diagnosis/etiology for their respiratory illness,Does the patient have another diagnosis/etiology for their respiratory illness
influenza rapid(ag/a/b),Influenza Rapid(Ag/A/B)
influenza pcr(a/b),Influenza PCR(A/B)
rsv,RSV
h.metapneumovirus,H.metapneumovirus
parainfluenza(1-4),Parainfluenza(1-4)
adenovirus,Adenovirus
rhinovirus/enterovirus,Rhinovirus/enterovirus
coronavirus(oc43 229e hku1 nl63),Coronavirus(oc43 229e hku1 nl63)
m. pneumoniae,M. Pneumoniae
c. pneumoniae,C. Pneumoniae
"other(s), specify","Other specify, Others (specify), Other � specify, Other (specify)"
clinician's name,"Clinician's name, Clinician's Name"
signature,Signature
final dx,Final Dx
mmwr wk,MMWR Wk
mmwr yr,MMWR Yr
investigation id,Investigation ID
patient id,Patient ID
clinical/suspected diagnosis,Clinical/suspected diagnosis
date,Date
outcome,Outcome
submitter name,Submitter name
affiliation/organization,Affiliation/organization
fax number,"Fax number, Fax Number"
submitter email,Submitter email
hospital,Hospital
laboratory,Laboratory
clinic,Clinic
school/daycare,School/daycare
last name,"Last name, Last Name"
birth date,"Birth date, Birthdate, BIrth date, Birth Date"
mrn,MRN
home phone,"Home phone, Phone (home), Home Phone"
address,"Address, Address line 1, Address line 2"
city,City
state,State
zip,"Zip, ZIP"
school/daycare attends,School/daycare attends
race,Race
ethnicity,Ethnicity
household contacts,Household contacts
if patient is a minor name of parent(s)/guardian(s),If patient is a minor name of parent(s)/guardian(s)
recent travel history (location/dates),Recent travel history (location/dates)
clinical information,Clinical information
patient notified of lab result,Patient notified of lab result
date of visit,Date of visit
admitted,"Admitted, Admitted?"
date discharged,"Discharge date, Date of discharge, Discharged date, Discharge Date, Date of Discharge, Date discharged"
name of health care provider patient seen by,Name of health care provider patient seen by
past medical history,Past medical history
symptom onset date,"Symptom onset date, Date symptom onset, Symptom Onset (Date)"
symptom(s),"Symptoms, Symptoms*, SYMPTOMS, Symptom"
symptom duration,Symptom duration
referred to/follow-up,Referred to/follow-up
collection date,"Collection date, Collection Date"
test,Test
result date,Result date
result,Result
drug resistant,Drug resistant
if yes resistant drugs,If yes resistant drugs
date started,Date started
drug,Drug
dose,"Dose, 4th Dose, 5th Dose"
route,Route
frequency,Frequency
duration,Duration
additional comments,Additional comments
disease or condition,Disease or condition
practitioner name,Practitioner name
practitioner address/see facility address below,Practitioner address/see facility address below
practitioner phone/see facility phone below,Practitioner phone/see facility phone below
diagnostic criteria (diagnostic lab test type result and specimen source if applicable and/or clinical indicators),Diagnostic criteria (diagnostic lab test type result and specimen source if applicable and/or clinical indicators)
patient name,"Patient name, Patient Name"
phone number,"Phone number, Telephone number, Phone Number"
street address,"Address (street), Street address, Street Address"
zip code,"Zip code, ZIP code, Zip Code, ZIP Code"
county,County
notes comments additional information,Notes comments additional information
name of reporting facility,Name of reporting facility
name of person reporting,Name of person reporting
title,Title
date of report (mm/dd/yyyy),Date of report (MM/DD/YYYY)
idsr id,"IDSR-ID, IDSR ID"
patient record id,Patient record ID
reporting health facility,Reporting health facility
reporting county,Reporting county
disease or condition of alert(select one),Disease or condition of alert(select one)
crossed international border in last 1 month,Crossed international border in last 1 month
case detected at community level,Case detected at community level
patient last name,"Patient last name, Patient Last Name"
patient sex,Patient sex
patient age,Patient age
county of residence,"County of residence, County of residence:, County of Residence"
district of residence,District of residence
community of residence,Community of residence
locating information,Locating information
date seen,"Date seen, Date Seen"
in/out-patient,In/out-patient
classification,Classification
reporting person name,Reporting person name
person collecting specimen name,Person collecting specimen name
comments,Comments
vaccination history,Vaccination history
date of specimen collection,"Date of specimen collection, Date of specimen collected, Date of Specimen Collection"
laboratory name,"Laboratory name, Laboratory Name"
specimen received date,"Date specimen received, Specimen received date"
date specimen tested,Date specimen tested
specimen id,Specimen ID
final lab results,Final lab results
date results reported,Date results reported
case id number,Case ID number
date received by national level(disease surveillance department),Date received by national level(disease surveillance department)
region,Region
sub-district,"Sub-district, Sub District"
date notified,"Date notified, Date Notified"
date case investigated,"Date investigated, Date case investigated, Date Case Investigated"
name(s) of patient,"Name of patient, Name(s) of patient, Name of Patient, Name(s) of Patient"
name of village/suburb town/ city,Name of village/suburb town/ city
address (location),Address (location)
contact phone number of suspected case,Contact phone number of suspected case
date of onset(dd/mm/yyyy),Date of onset(DD/MM/YYYY)
signs and symptoms,"Signs and symptoms*, Signs and symptoms, Signs and Symptoms*, Symptoms and Signs*"
date first seen at a health facility for this disease,Date first seen at a health facility for this disease
admitted to hospital (in-patient),Admitted to hospital (in-patient)
name of health facility,"Name of health facility, Name of Healthy Facility"
district where health facility located,District where health facility located
date of admission (in-patient),Date of admission (in-patient)
date person discharged from hospital,Date person discharged from hospital
termination date of hospital stay,Termination date of hospital stay
admitted to intensive care unit,Admitted to intensive care unit
previously vaccinated against influenza,Previously vaccinated against influenza
list places visited during the past 7 days,List places visited during the past 7 days
visited places with known lab confirmed pandemic influenza cases within 7 days prior to the onset of disease,Visited places with known lab confirmed pandemic influenza cases within 7 days prior to the onset of disease
contact with suspected or confirmed influenza patient(s),Contact with suspected or confirmed influenza patient(s)
contact with sick or dead animals (wild or domestic),Contact with sick or dead animals (wild or domestic)
risk factors for severe disease,Risk factors for severe disease
type of specimen taken,Type of specimen taken
positive viral culture for influenza a(h1n1),Positive viral culture for influenza A(H1N1)
positive real time rt-pcr for influenza a(h1n1),Positive real time RT-PCR for influenza A(H1N1)
4-fold rise in a(h1n1) virus-specific antibody titre in paired serum samples,4-fold rise in A(H1N1) virus-specific antibody titre in paired serum samples
other influenza viruses,Other influenza viruses
state treatment administered,State treatment administered
final outcome,Final outcome
date final outcome established,Date final outcome established
"if person died, date of death","If person died, date of death"
other comments and remarks,Other comments and remarks
institution/unit,Institution/unit
telephone,Telephone
date of last update (dd/mm/yyyy),Date of last update (DD/MM/YYYY)
epid number,"EPID number, Epid number, Epid Number, EPID Number"
received,Received
nearest health facility to village,"Nearest health facility to village, Nearest Health Facility to Village"
village/suburb,"Village/suburb, Village/Suburb"
town/city,"Town/city, Town/City"
mother/father,Mother/father
notified by,Notified by
admitted to hospital,Admitted to hospital
date of admission,Date of admission
medical record number,"Medical record number, Medical Record Number"
facility address,"Facility address, Facility Address"
fever at onset of paralysis,Fever at onset of paralysis
paralysis progresses less than or equal to 3 days,Paralysis progresses less than or equal to 3 days
flaccid and sudden paralysis,Flaccid and sudden paralysis
asymmetrical,Asymmetrical
site of paralysis,Site of paralysis
onset of paralysis,Onset of paralysis
after investigation was it true afp,After investigation was it true AFP
total doses of polio,Total doses of polio
birth,Birth
1st,1st
2nd,2nd
3rd,3rd
4th,4th
"if greater than 4, last dose","If greater than 4 last dose, If greater than 4, last dose, Last dose (if greater than 4)"
date 1st stool,Date 1st stool
date 2nd stool,Date 2nd stool
date sent to national lab,Date sent to national lab
condition of stool,Condition of stool
date received by national lab,Date received by national lab
date results sent by lab to district,Date results sent by lab to district
date results receive by district,Date results receive by district
date isolate sent by national lab to regional lab,Date isolate sent by national lab to regional lab
date differentiation result sent by regional lab,Date differentiation result sent by regional lab
date differentiation result received by district,Date differentiation result received by district
primary isolation result(s),"Primary isolation results, Primary isolation result, Primary isolation results*"
date of follow up examination,Date of follow up examination
residual paralysis,Residual paralysis
findings at follow-up,"Findings at follow-up, Findings at follow up"
unit,Unit
reporting lga,Reporting LGA
identification number,Identification number
date form received at smoh or the national level,Date form received at smoh or the national level
date of birth (dob),"Date of birth(DOB), Date of birth (DOB)"
age(if dob unknown),Age(if DOB unknown)
patient address,Patient address
setting,Setting
settlement/village,Settlement/village
ward,Ward
lga,LGA
exact residential address,Exact residential address
date seen at the health facility,"Date seen at the health facility, Date seen at health facility"
date health facility notified lga,Date health facility notified LGA
number of vaccine doses received (9=unknown),Number of vaccine doses received (9=unknown)
close contact with infected poultry,Close contact with infected poultry
close contact with suspected or confirmed case of avian influenza,Close contact with suspected or confirmed case of avian influenza
associated with an outbreak,Associated with an outbreak
final classification for measles,Final classification for Measles
date form sent to lga,Date form sent to LGA
village/neighbourhood,"Village/neighborhood, Village/neighbourhood, Village/Neighborhood"
father/mother,"Father/mother, Father/Mother"
medical record no.,Medical record No.
name/address of facility,Name/address of facility
date of onset of paralysis,"Date onset of paralysis, Date of onset of paralysis"
