element,type,confidence(%)
Reporting facility,Reporting Entity/Reporting Facility,91.61225
reporting district,Reporting Entity/Reporting Facility,80.093895
type of case,Case Information,79.61065
reporter name,Weekly Follow-up,65.736786
reporting phone number,Reporting Entity/Reporting Facility,72.275986
reporting date,Reporting Entity/Reporting Facility,70.2211
type of reporting disease/condition,Clinical Information,78.382965
last name of case,Case Information,81.8634
first name of case,Case Information,81.53159
date of birth,Patient History,64.33852
age of case (if dob unknown),Case Information,73.08242
nationality,Case Information,63.927753
cases uid,Case Information,77.72338
district of case residence,Case Information,70.64182
type of residence,Reporting Entity/Reporting Facility,63.67717
sex,Comments,66.737495
patient occupation,Medical Encounters,80.32311
physical address,Local Fields,64.98498
nearest landmark,Local Fields,60.856407
parent or caretaker name,Illness in Mother and Infant,65.40872
phone number of case,Case Information,76.049805
date seen at facility,Patient History,72.84398
vaccination,Public Health Issues,72.77344
number of doses,Epidemiological/Exposure Factors/ Exposure/Source,66.29613
type of vaccine,Maternal and Neonatal (e.g. Listeria forms),65.84017
date facility notified district,Reporting Entity/Reporting Facility,66.60768
date of last vaccination,Patient History,68.18651
recent travel history,Patient History,72.26706
recent travel history location,Patient History,69.25031
date of return,Patient History,63.650894
any contact with ot case,Case Information,81.52709
any clustering (clustering type),Epidemiological/Exposure Factors/ Exposure/Source,61.886013
date of onset,History of the disease,72.98946
pregnancy (if case is female),Illness in Mother and Infant,76.25916
trimester,Weekly Follow-up,64.50709
presenting symptom(s) tick if any presented,Diagnostic Testing,73.88838
underlying condition(s) tick if any presented,Diagnostic Testing,70.45458
covid (positive) hist,Illness in Mother and Infant,65.8872
person completing form,Administrative,61.90074
date specimen collected,Laboratory Data,71.61902
date specimen sent to lab,Laboratory Data,74.99886
specimen type,Laboratory Data,73.57852
specimen condition,Laboratory Data,74.52766
date lab received specimen,Laboratory Data,77.50569
type of test(s) performed,Diagnostic Testing,85.42309
testing platform,Diagnostic Testing,70.92912
final laboratory result,Laboratory Data,82.18732
date lab sent result to district,Laboratory Data,73.62184
date result sent to hcw,Weekly Follow-up,64.85916
date district received result,Patient History,63.050236
case final outcome,Case Information,85.454926
case classification,Case Information,79.78463
health facility,Medical Encounters,76.28394
district,Administrative,65.69792
date seen at health facility (dd/mm/yyyy),Patient History,80.00521
date health facility notified district (dd/mm/yyyy),Patient History,73.34065
referred by chw/cahw,Clinical Information,65.58635
tracking number,Surveillance Use Only,63.864826
disease/condition/event notified,Clinical Information,77.47248
patient first name,Patient History,79.49503
surname,Case Information,63.159615
date of birth,Patient History,64.33852
age,Comments,59.58798
sex,Comments,66.737495
residential address (house number street or village),Local Fields,67.13601
residential village/town/city,Local Fields,64.45268
residential chiefdom/zone,Reporting Entity/Reporting Facility,63.099754
phone number (patient/parent/guardian/next of kin),Clinical Information,74.83752
date of onset /event (dd/mm/yyyy),Event,69.53025
any lab test done prior to this notification,Diagnostic Testing,77.336716
if lab test done what test,Diagnostic Testing,83.32755
result of the test done,Diagnostic Testing,81.487564
treatment given,Treatment/ Services referrals/ Case Diagnosis and Treatment,82.77882
patient current category,Patient History,79.94179
unit/ward name,Administrative,61.54588
admission date (dd/mm/yyyy),Patient History,61.496456
referred,Treatment/ Services referrals/ Case Diagnosis and Treatment,63.294746
facility referred to,Reporting Entity/Reporting Facility,76.424995
date referred (dd/mm/yyyy),Patient History,61.795986
outcome of the patient at the time of report,Patient History,80.08276
date of death (dd/mm/yyyy),Patient History,63.11879
name,Case Information,63.117123
designation,Administrative,69.45636
contact phone,Partner Information,67.007
facility name,Reporting Entity/Reporting Facility,72.36852
report date,Reporting Entity/Reporting Facility,68.132126
facility code,Reporting Entity/Reporting Facility,68.45157
person preparing report,Reporting Entity/Reporting Facility,69.27798
person contact number,Partner Information,67.67794
surname,Case Information,63.159615
patient's name,Patient History,82.672485
sex,Comments,66.737495
if patient pregnant,Illness in Mother and Infant,72.756386
date of birth,Patient History,64.33852
telephone contact of the patient,Patient History,74.40986
chief,Administrative,65.84667
location of patient's home(give nearest landmark and head of household),Patient History,71.64745
please tick all boxes that apply to this single case/patient,Treatment/ Services referrals/ Case Diagnosis and Treatment,76.264725
date of onset,History of the disease,72.98946
date of admission(if applicable),Patient History,66.56838
date of death(if applicable),Patient History,65.73597
treatment(if applicable),Treatment/ Services referrals/ Case Diagnosis and Treatment,84.25621
case comments(include recent travel),Case Information,80.36209
date/time of call,Call logs,78.35251
your signature,Comments,65.26252
epr officer receiving call,Call logs,66.12125
case no.,Case Information,77.42169
today's date,Event,64.04922
patient's id number,Patient History,78.850426
patient's name,Patient History,82.6725
patient's date of birth,Patient History,81.850586
physician's name,Medical Encounters,77.31173
phone,Call logs,66.341896
patient e-mail,Clinical Information,77.26684
sex,Comments,66.737495
age,Comments,59.58798
residence,Administrative,65.333496
date of symptom onset,History of the disease,75.6716
does the patient have the following signs and symptoms(check that all apply),Treatment/ Services referrals/ Case Diagnosis and Treatment,78.55555
does the patient have these additional signs and symptoms(check that all apply),Treatment/ Services referrals/ Case Diagnosis and Treatment,76.359375
in the 14 days before symptom onset did the patient,History of the disease,75.606895
does the patient have history of travel outside of eswatini,Treatment/ Services referrals/ Case Diagnosis and Treatment,71.54179
which countries travelled to,Cold Chain and Transport,58.952522
date of departure from last country,Patient History,64.13226
